algorithm,size,obstacle_rate,seed,found,path_cost,visited_nodes,runtime_ms
Dijkstra,50,0.1,0,True,98,2235,2.3898124927654862
A*,50,0.1,0,True,98,2038,2.556104496761691
Dijkstra,50,0.1,1,True,98,2255,2.2448960080510005
A*,50,0.1,1,True,98,1873,2.4121670066961087
Dijkstra,50,0.1,2,True,98,2276,2.28604199946858
A*,50,0.1,2,True,98,2009,2.528729004552588
Dijkstra,50,0.1,3,True,98,2257,2.2313125009532087
A*,50,0.1,3,True,98,1851,2.3142709978856146
Dijkstra,50,0.1,4,True,98,2256,2.231437996670138
A*,50,0.1,4,True,98,2009,2.531499500037171
Dijkstra,50,0.1,5,True,98,2252,2.2265210063778795
A*,50,0.1,5,True,98,1887,2.3060829989844933
Dijkstra,50,0.1,6,True,98,2239,2.197604495449923
A*,50,0.1,6,True,98,2069,2.5769374988158233
Dijkstra,50,0.1,7,True,98,2248,2.216625005530659
A*,50,0.1,7,True,98,1972,2.4917504997574724
Dijkstra,50,0.1,8,True,98,2270,2.2408125005313195
A*,50,0.1,8,True,98,1893,2.462895994540304
Dijkstra,50,0.1,9,True,98,2220,2.213125000707805
A*,50,0.1,9,True,98,1779,2.2345415054587647
Dijkstra,50,0.1,10,True,98,2258,2.2248335008043796
A*,50,0.1,10,True,98,2091,2.5828540019574575
Dijkstra,50,0.1,11,True,98,2259,2.240562498627696
A*,50,0.1,11,True,98,2032,2.5486665035714395
Dijkstra,50,0.1,12,True,98,2285,2.280624998093117
A*,50,0.1,12,True,98,2118,2.66631250269711
Dijkstra,50,0.1,13,True,98,2266,2.2236455042730086
A*,50,0.1,13,True,98,2123,2.6809584960574284
Dijkstra,50,0.1,14,True,98,2261,2.231791499070823
A*,50,0.1,14,True,98,2075,2.559624997957144
Dijkstra,50,0.1,15,True,98,2265,2.2101664944784716
A*,50,0.1,15,True,98,1978,2.4654584922245704
Dijkstra,50,0.1,16,True,98,2235,2.173437998862937
A*,50,0.1,16,True,98,1931,2.3865620023570955
Dijkstra,50,0.1,17,True,98,2271,2.2131245059426874
A*,50,0.1,17,True,98,2002,2.475541492458433
Dijkstra,50,0.1,18,True,98,2263,2.2327295009745285
A*,50,0.1,18,True,98,2083,2.560333494329825
Dijkstra,50,0.1,19,True,98,2276,2.244479001092259
A*,50,0.1,19,True,98,2078,2.556208499299828
Dijkstra,50,0.1,20,True,98,2216,2.2326250036712736
A*,50,0.1,20,True,98,2060,2.5339790008729324
Dijkstra,50,0.1,21,True,98,2258,2.227729004516732
A*,50,0.1,21,True,98,1996,2.495291490049567
Dijkstra,50,0.1,22,True,98,2242,2.1859999978914857
A*,50,0.1,22,True,98,1678,2.115520510415081
Dijkstra,50,0.1,23,True,98,2241,2.200542003265582
A*,50,0.1,23,True,98,1833,2.2823954932391644
Dijkstra,50,0.1,24,True,98,2261,2.225416996225249
A*,50,0.1,24,True,98,2094,2.5808334976318292
Dijkstra,50,0.1,25,True,98,2234,2.2046040030545555
A*,50,0.1,25,True,98,1754,2.20797899964964
Dijkstra,50,0.1,26,True,98,2250,2.1931039955234155
A*,50,0.1,26,True,98,1940,2.4994994964799844
Dijkstra,50,0.1,27,True,98,2261,2.202042000135407
A*,50,0.1,27,True,98,1987,2.502166506019421
Dijkstra,50,0.1,28,True,98,2261,2.2194164994289167
A*,50,0.1,28,True,98,1998,2.491020495654084
Dijkstra,50,0.1,29,True,98,2249,2.2057084934203885
A*,50,0.1,29,True,98,1912,2.305916503246408
Dijkstra,50,0.2,0,True,98,2002,1.9403124970267527
A*,50,0.2,0,True,98,1458,1.8178959944634698
Dijkstra,50,0.2,1,True,98,2012,1.9226665026508272
A*,50,0.2,1,True,98,1278,1.6060415000538342
Dijkstra,50,0.2,2,True,98,2029,2.0267914951546118
A*,50,0.2,2,True,98,1201,1.483083498897031
Dijkstra,50,0.2,3,True,98,2003,1.960667003004346
A*,50,0.2,3,True,98,1106,1.3681665004696697
Dijkstra,50,0.2,4,True,98,2001,1.902458505355753
A*,50,0.2,4,True,98,1355,1.7125625017797574
Dijkstra,50,0.2,5,True,98,1990,1.9328124981257133
A*,50,0.2,5,True,98,1357,1.7014789991662838
Dijkstra,50,0.2,6,True,98,1971,1.9876044971169904
A*,50,0.2,6,True,98,1282,1.6400414970121346
Dijkstra,50,0.2,7,False,,2,0.0011875017662532628
A*,50,0.2,7,False,,2,0.0012499949662014842
Dijkstra,50,0.2,8,True,98,1990,1.933437495608814
A*,50,0.2,8,True,98,1247,1.562354496854823
Dijkstra,50,0.2,9,True,98,1967,1.8942294991575181
A*,50,0.2,9,True,98,987,1.200812497700099
Dijkstra,50,0.2,10,True,98,2008,1.9199164962628856
A*,50,0.2,10,True,98,1467,1.8358335000812076
Dijkstra,50,0.2,11,True,98,2014,1.9382504979148507
A*,50,0.2,11,True,98,1329,1.6691460041329265
Dijkstra,50,0.2,12,True,98,2005,1.945228999829851
A*,50,0.2,12,True,98,1137,1.412145997164771
Dijkstra,50,0.2,13,True,98,2008,1.9193750049453229
A*,50,0.2,13,True,98,1432,1.7703539997455664
Dijkstra,50,0.2,14,True,98,1991,1.8963955008075573
A*,50,0.2,14,True,98,1320,1.6699789994163439
Dijkstra,50,0.2,15,True,98,2021,1.954457999090664
A*,50,0.2,15,True,98,1315,1.6338330024154857
Dijkstra,50,0.2,16,True,98,1980,1.8911464940174483
A*,50,0.2,16,True,98,1266,1.5809164979145862
Dijkstra,50,0.2,17,True,98,2032,1.9737500042538159
A*,50,0.2,17,True,98,1456,1.8384170034551062
Dijkstra,50,0.2,18,True,98,2031,1.9641454928205349
A*,50,0.2,18,True,98,1393,1.748354006849695
Dijkstra,50,0.2,19,True,98,1990,1.902291493024677
A*,50,0.2,19,True,98,1027,1.2556869987747632
Dijkstra,50,0.2,20,True,98,1949,1.8490419970476069
A*,50,0.2,20,True,98,1375,1.7000834995997138
Dijkstra,50,0.2,21,True,98,2014,1.918082998599857
A*,50,0.2,21,True,98,1120,1.3876879966119304
Dijkstra,50,0.2,22,True,98,1989,1.893521002784837
A*,50,0.2,22,True,98,1325,1.6626875003566965
Dijkstra,50,0.2,23,True,98,1989,1.9379789955564775
A*,50,0.2,23,True,98,1202,1.4983545042923652
Dijkstra,50,0.2,24,True,98,2013,1.9502915019984357
A*,50,0.2,24,True,98,991,1.2247084960108623
Dijkstra,50,0.2,25,True,98,1988,1.9122914964100346
A*,50,0.2,25,True,98,1268,1.5916249976726249
Dijkstra,50,0.2,26,True,98,1999,1.9384999977773987
A*,50,0.2,26,True,98,1323,1.676666499406565
Dijkstra,50,0.2,27,True,98,2012,1.9334789976710454
A*,50,0.2,27,True,98,1389,1.733999997668434
Dijkstra,50,0.2,28,False,,1,0.0006249902071431279
A*,50,0.2,28,False,,1,0.0005839974619448185
Dijkstra,50,0.2,29,True,98,1998,1.9190005114069209
A*,50,0.2,29,True,98,1345,1.6636665022815578
Dijkstra,50,0.3,0,True,100,1681,1.5773124978295527
A*,50,0.3,0,True,100,453,0.5214375050854869
Dijkstra,50,0.3,1,True,102,1726,1.6273334986180998
A*,50,0.3,1,True,102,1135,1.3557705024140887
Dijkstra,50,0.3,2,True,100,1744,1.6351459926227108
A*,50,0.3,2,True,100,809,0.9714585030451417
Dijkstra,50,0.3,3,True,102,1720,1.6309374987031333
A*,50,0.3,3,True,102,788,0.9238125057891011
Dijkstra,50,0.3,4,False,,1,0.000583502696827054
A*,50,0.3,4,False,,1,0.0005625042831525207
Dijkstra,50,0.3,5,True,98,1679,1.5603539941366762
A*,50,0.3,5,True,98,566,0.6809585029259324
Dijkstra,50,0.3,6,False,,9,0.006250003934837878
A*,50,0.3,6,False,,9,0.006874994141981006
Dijkstra,50,0.3,7,False,,2,0.0012500022421590984
A*,50,0.3,7,False,,2,0.0012920063454657793
Dijkstra,50,0.3,8,True,98,1677,1.5996875008568168
A*,50,0.3,8,True,98,584,0.6914374971529469
Dijkstra,50,0.3,9,True,106,1703,1.6417709994129837
A*,50,0.3,9,True,106,636,0.7642295022378676
Dijkstra,50,0.3,10,True,98,1740,1.6342500020982698
A*,50,0.3,10,True,98,760,0.9351454937132075
Dijkstra,50,0.3,11,True,104,1735,1.6240834956988692
